Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,28.629999,29.150000,28.270000,28.950001,20.026834,6938500
2016-01-05,29.040001,29.049999,27.920000,28.139999,19.466507,6048200
2016-01-06,27.520000,27.530001,26.950001,27.290001,18.878500,7954000
2016-01-07,26.680000,27.110001,26.320000,26.379999,18.248980,7027400
2016-01-08,26.610001,26.809999,25.459999,25.500000,17.640223,6510600
2016-01-11,25.889999,25.930000,24.410000,24.650000,17.052216,10717500
2016-01-12,24.980000,25.370001,24.520000,25.170000,17.411936,7051000
2016-01-13,25.389999,25.860001,24.209999,24.450001,16.913866,6789100
2016-01-14,24.500000,25.860001,23.270000,25.639999,17.737068,9436900
2016-01-15,24.400000,24.940001,23.850000,24.559999,16.989954,10831400
2016-01-19,24.879999,25.129999,23.520000,24.010000,16.609480,6339200
2016-01-20,23.030001,24.209999,22.309999,23.750000,16.429621,9144100
2016-01-21,23.950001,25.040001,23.920000,24.160000,16.713251,6641600
2016-01-22,25.059999,26.219999,25.010000,26.209999,18.131380,7988700
2016-01-25,26.030001,26.049999,25.000000,25.030001,17.315090,5634800
2016-01-26,25.040001,26.559999,24.930000,26.290001,18.186724,7426800
2016-01-27,26.250000,26.459999,24.980000,25.600000,17.709398,4930900
2016-01-28,25.070000,25.860001,24.070000,25.120001,17.377346,7779900
2016-01-29,25.270000,26.490000,25.250000,26.270000,18.172888,7165800
2016-02-01,26.200001,27.620001,25.600000,27.370001,18.933836,8013300
2016-02-02,26.889999,27.250000,26.059999,26.379999,18.248980,8963500
2016-02-03,26.620001,27.000000,24.930000,26.469999,18.311239,8325400
2016-02-04,25.860001,27.330000,25.730000,26.350000,18.658203,7624700
2016-02-05,26.240000,27.180000,26.080000,26.469999,18.743176,5875900
2016-02-08,25.690001,25.740000,23.709999,24.440001,17.305750,10853200
2016-02-09,23.719999,25.120001,23.600000,24.459999,17.319908,4999600
2016-02-10,24.920000,25.350000,24.500000,24.500000,17.348238,5785000
2016-02-11,23.549999,24.540001,22.610001,23.020000,16.300264,10453400
2016-02-12,23.559999,24.680000,22.670000,24.629999,17.440281,9964300
2016-02-16,25.530001,25.969999,24.490000,25.969999,18.389130,6816100
2016-02-17,26.270000,26.969999,25.969999,26.629999,18.856470,7137900
2016-02-18,26.889999,26.889999,26.160000,26.469999,18.743176,4300100
2016-02-19,26.080000,26.309999,25.610001,25.870001,18.318325,4455000
2016-02-22,26.370001,26.990000,26.260000,26.670000,18.884792,5095900
2016-02-23,26.500000,26.700001,25.299999,25.740000,18.226267,4477000
2016-02-24,25.260000,25.889999,24.670000,25.730000,18.219185,4549500
2016-02-25,25.770000,25.930000,25.049999,25.480000,18.042168,6390200
